,Name,Host Name,Host Listing Count,Country,Property Type,Cancellation Policy,Bed Type,Minimum Night,Maximum Night,Accommondate,Amentities,N_Reviews,Price,Extra People,Guests
0,Ribeira Charming Duplex,Ana&Gonçalo,3,Portugal,House,moderate,Real Bed,2,30,8,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Pets allowed', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Pack ’n Play/travel crib', 'Room-darkening shades', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Cleaning before checkout', 'Waterfront']",51,80.00,15.00,6
1,Horto flat with small garden,Ynaie,1,Brazil,Apartment,flexible,Real Bed,2,1125,4,"['Wifi', 'Wheelchair accessible', 'Kitchen', 'Free parking on premises', 'Smoking allowed', 'Hot tub', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'First aid kit', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",0,317.00,0.00,1
2,Ocean View Waikiki Marina w/prkg,David,18,United States,Condominium,strict_14_with_grace_period,Real Bed,3,365,2,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Elevator', 'Hot tub', 'Washer', 'Dryer', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Lockbox', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Ethernet connection', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Stove', 'BBQ grill', 'Garden or backyard', 'Well-lit path to entrance', 'Disabled parking spot', 'Step-free access', 'Wide clearance to bed', 'Step-free access']",96,115.00,0.00,1
3,Private Room in Bushwick,Josh,1,United States,Apartment,flexible,Real Bed,14,1125,1,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Buzzer/wireless intercom', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'Essentials', 'Lock on bedroom door']",1,40.00,0.00,1
4,Apt Linda Vista Lagoa - Rio,Livia,1,Brazil,Apartment,flexible,Real Bed,1,1125,2,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Free parking on premises', 'Doorman', 'Gym', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Essentials', '24-hour check-in']",0,701.00,0.00,1
5,New York City - Upper West Side Apt,Greta,3,United States,Apartment,strict_14_with_grace_period,Real Bed,12,360,2,"['Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'translation missing: en.hosting_amenity_50']",70,135.00,0.00,1
6,Copacabana Apartment Posto 6,Ana Valéria,2,Brazil,Apartment,strict_14_with_grace_period,Real Bed,3,75,4,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Oven', 'Stove', 'Long term stays allowed', 'Wide hallway clearance', 'Host greets you']",70,119.00,40.00,3
7,Charming Flat in Downtown Moda,Zeynep,2,Turkey,House,flexible,Real Bed,2,1125,6,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Pets allowed', 'Pets live on this property', 'Cat(s)', 'Heating', 'Family/kid friendly', 'Washer', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",1,527.00,211.00,1
8,Catete's Colonial Big Hause Room B,Beatriz,5,Brazil,House,strict_14_with_grace_period,Real Bed,2,1125,8,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Smoking allowed', 'Family/kid friendly', 'First aid kit', 'Fire extinguisher', 'Essentials']",1,250.00,40.00,4
9,Modern Spacious 1 Bedroom Loft,Konstantin,1,Canada,Apartment,flexible,Real Bed,1,1125,4,"['Internet', 'Wifi', 'Kitchen', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Iron', 'Laptop friendly workspace']",0,50.00,31.00,1
10,Deluxe Loft Suite,Mae,13,United States,Apartment,strict_14_with_grace_period,Real Bed,3,1125,4,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Kitchen', 'Doorman', 'Gym', 'Elevator', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron']",5,205.00,0.00,1
11,Ligne verte - à 15 min de métro du centre ville.,Caro,1,Canada,Apartment,moderate,Real Bed,2,1125,2,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Free parking on premises', 'Heating', 'Washer', 'Smoke detector', 'Essentials', 'Shampoo', 'Laptop friendly workspace', 'Hot water', 'Bed linens']",0,43.00,12.00,1
12,"Soho Cozy, Spacious and Convenient",Giovanni,1,Hong Kong,Apartment,flexible,Real Bed,4,20,3,"['Air conditioning', 'Kitchen', 'Smoking allowed', 'Doorman', 'Elevator', 'Heating', 'Family/kid friendly', 'Essentials', '24-hour check-in', 'translation missing: en.hosting_amenity_50']",3,699.00,0.00,1
13,3 chambres au coeur du Plateau,Margaux,2,Canada,Apartment,flexible,Real Bed,1,1125,6,"['Internet', 'Wifi', 'Kitchen', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",0,140.00,0.00,1
14,Ótimo Apto proximo Parque Olimpico,Jonathan,1,Brazil,Apartment,strict_14_with_grace_period,Real Bed,15,20,5,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Kitchen', 'Free parking on premises', 'Doorman', 'Gym', 'Elevator', 'Buzzer/wireless intercom', 'Family/kid friendly', 'Washer', 'Essentials', 'Hair dryer', 'Iron']",0,858.00,75.00,1
15,Double Room en-suite (307),Ken,6,Hong Kong,Apartment,strict_14_with_grace_period,Real Bed,1,1125,2,"['TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Doorman', 'Elevator', 'Family/kid friendly', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron']",0,361.00,130.00,2
16,Nice room in Barcelona Center,Anna,1,Spain,Apartment,flexible,Real Bed,1,9,2,"['Internet', 'Wifi', 'Kitchen', 'Elevator', 'Heating', 'Washer', 'Shampoo', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",0,50.00,0.00,1
17,Be Happy in Porto,Fábio,3,Portugal,Loft,moderate,Real Bed,2,1125,2,"['TV', 'Cable TV', 'Wifi', 'Kitchen', 'Smoking allowed', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishes and silverware', 'Cooking basics', 'Stove', 'Long term stays allowed', 'Well-lit path to entrance', 'Step-free access', 'Wide clearance to bed', 'Accessible-height bed', 'Step-free access', 'Step-free access', 'Handheld shower head', 'Paid parking on premises']",178,30.00,0.00,1
18,City center private room with bed,Yi,2,Hong Kong,Guesthouse,strict_14_with_grace_period,Futon,1,500,1,"['TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Elevator', 'First aid kit', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Microwave', 'Refrigerator', 'Dishes and silverware', 'Stove', 'Long term stays allowed', 'Host greets you']",81,181.00,100.00,1
19,Surry Hills Studio - Your Perfect Base in Sydney,Ben,1,Australia,Apartment,strict_14_with_grace_period,Real Bed,10,21,2,"['TV', 'Wifi', 'Kitchen', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Shampoo', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Hot water', 'Bed linens', 'Ethernet connection', 'Other']",64,181.00,0.00,1
20,Cozy house at Beyoğlu,Ali,8,Turkey,Apartment,flexible,Pull-out Sofa,2,1125,2,"['Wifi', 'Kitchen', 'Smoking allowed', 'Breakfast', 'Pets live on this property', 'Cat(s)', 'Free street parking', 'Heating', 'Washer', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Cooking basics', 'Patio or balcony', 'Luggage dropoff allowed', 'Host greets you']",27,58.00,60.00,1
21,Easy 1 Bedroom in Chelsea,Scott,1,United States,Apartment,flexible,Real Bed,2,1125,2,"['TV', 'Internet', 'Wifi', 'Kitchen', 'Heating', 'Smoke detector', 'Carbon monoxide detector', 'Fire extinguisher', 'Essentials']",1,145.00,0.00,1
22,Sydney Hyde Park City Apartment (checkin from 6am),Desireé,1,Australia,Apartment,moderate,Real Bed,2,30,2,"['TV', 'Wifi', 'Air conditioning', 'Pool', 'Kitchen', 'Gym', 'Elevator', 'Heating', 'Washer', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'translation missing: en.hosting_amenity_49', 'translation missing: en.hosting_amenity_50', 'Self check-in', 'Building staff', 'Private living room', 'Hot water', 'Bed linens', 'Extra pillows and blankets', 'Microwave', 'Coffee maker', 'Refrigerator', 'Dishwasher', 'Dishes and silverware', 'Cooking basics', 'Oven', 'Stove', 'Patio or balcony', 'Cleaning before checkout', 'Step-free access', 'Flat path to front door', 'Well-lit path to entrance', 'Step-free access']",109,185.00,0.00,1
23,THE Place to See Sydney's FIREWORKS,Kristin,1,Australia,House,moderate,Real Bed,2,1125,2,"['TV', 'Cable TV', 'Wifi', 'Air conditioning', 'Kitchen', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Washer', 'Dryer', 'Smoke detector', 'Essentials', 'Shampoo', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace']",0,250.00,0.00,1
24,Downtown Oporto Inn (room cleaning),Elisabete,2,Portugal,Hostel,moderate,Real Bed,1,1125,2,"['TV', 'Cable TV', 'Wifi', 'Family/kid friendly', 'Smoke detector', 'Fire extinguisher', 'Essentials', 'Shampoo', 'Lock on bedroom door', 'Hangers', 'Hair dryer', 'Hot water', 'Long term stays allowed', 'Other']",0,40.00,25.00,2
25,GOLF ROYAL RESİDENCE TAXİM(1+1):3,Ahmet,16,Turkey,Serviced apartment,strict_14_with_grace_period,Real Bed,1,1125,4,"['TV', 'Cable TV', 'Internet', 'Wifi', 'Air conditioning', 'Wheelchair accessible', 'Kitchen', 'Paid parking off premises', 'Smoking allowed', 'Doorman', 'Elevator', 'Buzzer/wireless intercom', 'Heating', 'Family/kid friendly', 'Suitable for events', 'Dryer', 'Smoke detector', 'Carbon monoxide detector', 'First aid kit', 'Safety card', 'Fire extinguisher', 'Essentials', 'Shampoo', '24-hour check-in', 'Hangers', 'Hair dryer', 'Iron', 'Laptop friendly workspace', 'Self check-in', 'Building staff', 'Crib', 'Hot water', 'Luggage dropoff allowed', 'Long term stays allowed']",3,838.00,0.00,1
